datetime,open,high,low,close,volume
2025-08-05 19:00:00,3612.02,3698.46,3564.75,3683.27,4028313147.04
2025-08-06 19:00:00,3683.27,3926.21,3647.96,3910.21,6142926655.02
2025-08-07 19:00:00,3910.21,4069.01,3880.09,4009.62,7303442502.39
2025-08-08 19:00:00,4009.62,4324.29,4006.66,4260.93,7478174182.7
2025-08-09 19:00:00,4260.93,4332.26,4159.26,4250.75,5877601351.16
2025-08-10 19:00:00,4250.75,4363.05,4167.3,4223.6,8290360046.57
2025-08-11 19:00:00,4223.6,4638.94,4219.46,4590.42,9330391154.07
2025-08-12 19:00:00,4590.42,4783.55,4564.84,4749.43,10251253941.89
2025-08-13 19:00:00,4749.43,4788.91,4453.93,4546.88,13262165314.53
2025-08-14 19:00:00,4546.88,4666.43,4368.17,4439.35,9496680688.44
2025-08-15 19:00:00,4439.35,4490.21,4373.25,4422.25,4075648192.68
2025-08-16 19:00:00,4422.25,4575.2,4395.1,4472.82,5972140608.87
2025-08-17 19:00:00,4472.82,4481.79,4226.06,4313.31,9195825936.77
2025-08-18 19:00:00,4313.31,4354.97,4067.71,4075.77,8850055824.97
2025-08-19 19:00:00,4075.77,4377.41,4061.96,4335.93,8772039004.02
2025-08-20 19:00:00,4335.93,4340.07,4204.74,4225.37,5325109841.55
2025-08-21 19:00:00,4225.37,4887.14,4207.68,4831.04,12720985590.29
2025-08-22 19:00:00,4831.04,4831.53,4662.44,4778.46,5842314168.49
2025-08-23 19:00:00,4778.46,4955.97,4715.2,4780.07,9415360249.66
2025-08-24 19:00:00,4780.07,4797.71,4337.73,4376.42,10987678716.78
2025-08-25 19:00:00,4376.42,4633.0,4312.24,4600.29,9570889056.72
2025-08-26 19:00:00,4600.29,4662.4,4482.61,4506.86,7543877609.94
2025-08-27 19:00:00,4506.86,4633.7,4431.91,4511.66,5842052325.84
2025-08-28 19:00:00,4511.66,4516.56,4269.89,4360.27,8917401016.86
2025-08-29 19:00:00,4360.27,4414.85,4260.05,4373.91,4381125135.42
2025-08-30 19:00:00,4373.91,4497.99,4372.9,4392.08,4516801217.5
2025-08-31 19:00:00,4392.08,4490.66,4223.46,4314.79,6659254574.12
2025-09-01 19:00:00,4314.79,4416.43,4258.14,4326.24,6732440368.48
2025-09-02 19:00:00,4326.24,4490.04,4283.68,4450.51,5652442119.66
2025-09-03 19:00:00,4450.51,4482.24,4265.9,4297.89,6318841316.54
2025-09-04 19:00:00,4297.89,4482.15,4256.66,4307.47,8075926586.39
2025-09-05 19:00:00,4307.47,4328.77,4243.74,4273.54,3254052825.68
2025-09-06 19:00:00,4273.54,4334.88,4270.88,4306.19,2610077930.01
2025-09-07 19:00:00,4306.19,4383.66,4279.43,4306.48,5736866875.69
2025-09-08 19:00:00,4306.48,4381.51,4277.08,4310.02,5791903862.37
2025-09-09 19:00:00,4310.02,4452.25,4285.16,4349.37,6828360893.07
2025-09-10 19:00:00,4349.37,4383.08,4339.05,4363.74,346697958.65
