symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
ONT,BUY,LIMIT,IOC,10857.4,0.2034,0.2004,FILLED,2307.6,10857.4,1756103580300,2208.39516
1000PEPE,SELL,LIMIT,IOC,18185,0.0104696,0.0105384,FILLED,18185,18185,1756103581253,190.389676
BEL,SELL,LIMIT,IOC,25,0.24740,0.25100,FILLED,25,25,1756103581487,6.1850000000000005
ONT,BUY,LIMIT,IOC,26.0,0.2036,0.2008,FILLED,26.0,26.0,1756103581526,5.2936
BTC,SELL,LIMIT,IOC,0.024,111705.30,112145.90,FILLED,0.024,0.024,1756103582432,2680.9272
TA,SELL,LIMIT,IOC,1631,0.0482500,0.0489369,FILLED,495,1631,1756103582526,78.69575
SOON,SELL,LIMIT,IOC,1651,0.2375800,0.2394009,FILLED,833,1651,1756103583238,392.24458000000004
DAM,SELL,LIMIT,IOC,18195,0.0480000,0.0487353,FILLED,650,18195,1756103583556,873.36
PROVE,SELL,LIMIT,IOC,1772.2,1.013000,1.022773,FILLED,787.2,1772.2,1756103583556,1795.2386
TAO,SELL,LIMIT,IOC,3.760,346.63,350.16,FILLED,3.760,3.760,1756103583556,1303.3288
MOVR,SELL,LIMIT,IOC,298.12,6.369000,6.457933,FILLED,4.38,298.12,1756103583556,1898.7262799999999
IN,SELL,LIMIT,IOC,19628,0.0704000,0.0714041,FILLED,2891,19628,1756103583556,1381.8112
GMX,SELL,LIMIT,IOC,95.48,14.881000,15.097079,FILLED,1.89,95.48,1756103583556,1420.83788
LAYER,SELL,LIMIT,IOC,3518.5,0.548300,0.553604,FILLED,360.1,3518.5,1756103583556,1929.19355
BMT,SELL,LIMIT,IOC,15441,0.0694300,0.0704512,FILLED,1767,15441,1756103583556,1072.06863
UMA,SELL,LIMIT,IOC,1011,1.423000,1.444000,FILLED,488,1011,1756103583556,1438.653
1000000BOB,SELL,LIMIT,IOC,16434,0.0635600,0.0643723,FILLED,2296,16434,1756103583557,1044.5450400000002
DASH,SELL,LIMIT,IOC,65.179,22.50,22.70,FILLED,7.965,65.179,1756103583557,1466.5275000000001
SUI,SELL,LIMIT,IOC,416.9,3.534100,3.569100,FILLED,114.8,416.9,1756103583557,1473.36629
CVX,SELL,LIMIT,IOC,175.8,4.079000,4.119644,FILLED,0.5,175.8,1756103583557,717.0882
AVAX,SELL,LIMIT,IOC,31,24.7800,24.9060,FILLED,2,31,1756103583557,768.1800000000001
